
> nodebb@4.8.0 lint:jshint
> jshint .

install/databases.js: line 3, col 7, Redefinition of 'prompt'.
src/topics/tags.js: line 572, col 13, Confusing use of '!'.
src/topics/tags.js: line 584, col 13, Confusing use of '!'.

src/topics/thumbs.js: line 99, col 2, Unnecessary semicolon.

src/topics/tools.js: line 38, col 171, Line is too long.

src/topics/unread.js: line 206, col 13, Confusing use of '!'.
src/topics/unread.js: line 262, col 45, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (params)
src/topics/unread.js: line 351, col 13, Confusing use of '!'.

src/upgrade.js: line 122, col 151, Line is too long.
src/upgrade.js: line 142, col 177, Line is too long.
src/upgrade.js: line 199, col 170, Line is too long.

src/upgrades/1.13.0/cleanup_old_notifications.js: line 31, col 155, Line is too long.

src/upgrades/1.2.0/edit_delete_deletetopic_privileges.js: line 27, col 152, Line is too long.

src/upgrades/1.6.0/clear-stale-digest-template.js: line 16, col 141, Line is too long.

src/upgrades/1.6.0/generate-email-logo.js: line 21, col 158, Line is too long.

src/upgrades/1.7.0/generate-custom-html.js: line 27, col 141, Line is too long.

src/user/admin.js: line 17, col 13, Confusing use of '!'.

src/user/approval.js: line 87, col 149, Line is too long.

src/user/auth.js: line 15, col 13, Confusing use of '!'.
src/user/auth.js: line 41, col 13, Confusing use of '!'.
src/user/auth.js: line 103, col 13, Confusing use of '!'.

src/user/blocks.js: line 116, col 143, Line is too long.

src/user/categories.js: line 43, col 13, Confusing use of '!'.
src/user/categories.js: line 53, col 13, Confusing use of '!'.
src/user/categories.js: line 65, col 13, Confusing use of '!'.
src/user/categories.js: line 84, col 13, Confusing use of '!'.

src/user/data.js: line 151, col 141, Line is too long.
src/user/data.js: line 264, col 141, Line is too long.

src/user/digest.js: line 34, col 166, Line is too long.

src/user/email.js: line 219, col 9, Confusing use of '!'.

src/user/index.js: line 214, col 9, Confusing use of '!'.

src/user/interstitials.js: line 57, col 142, Line is too long.

src/user/invite.js: line 76, col 21, Expected '{' and instead saw 'return'.

src/user/online.js: line 11, col 36, Confusing use of '!'.
src/user/online.js: line 23, col 13, Confusing use of '!'.

src/user/posts.js: line 79, col 166, Line is too long.
src/user/posts.js: line 81, col 141, Line is too long.
src/user/posts.js: line 114, col 157, Line is too long.
src/user/posts.js: line 134, col 33, Confusing use of '!'.

src/utils.js: line 36, col 98, Strings must use singlequote.

src/webserver.js: line 76, col 22, Expected '{' and instead saw 'reject'.
src/webserver.js: line 77, col 18, Expected '{' and instead saw 'resolve'.
src/webserver.js: line 286, col 23, Expected '===' and instead saw '=='.
src/webserver.js: line 348, col 26, Expected '{' and instead saw 'reject'.
src/webserver.js: line 348, col 44, Expected '{' and instead saw 'resolve'.

test/activitypub/actors.js: line 359, col 25, 'actor' is defined but never used.
test/activitypub/actors.js: line 387, col 25, 'actor' is defined but never used.
test/activitypub/actors.js: line 435, col 21, 'response' is defined but never used.
test/activitypub/actors.js: line 577, col 183, Line is too long.
test/activitypub/actors.js: line 582, col 156, Line is too long.
test/activitypub/actors.js: line 759, col 19, 'total' is defined but never used.
test/activitypub/actors.js: line 768, col 25, 'note' is defined but never used.
test/activitypub/actors.js: line 19, col 1, 'describe' is not defined.
test/activitypub/actors.js: line 25, col 5, 'describe' is not defined.
